Cluster,Length
ZNF382,21
ZNF354,25
PRDM5,12
SMARCA5,19
NR_11,13
NR_9,17
ZNF143,19
GFI,8
NR_17,15
HAND1,14
SOX_1,13
NR_1,13
NR_3,14
NR_7,15
HINFP1_1,10
REST_NRSF,18
RUNX_1,10
GLI,10
ZNF449,9
ZFX,11
NFI_3,13
ZNF332,17
ZNF431,16
NRF1,11
MAF,15
ZSCAN4,13
ZNF547,19
ZNF563,19
PRDM9,16
ZNF667,18
HEN1,16
ZNF528,15
OSR2,11
ETS_2,11
SPI,12
PRDM16,8
HD_20,6
ZNF329,20
TFAP2_1,9
NR_16,16
AP1_2,11
NR_4,12
KLF_SP_2,17
Ebox_CAGCTG,9
ZNF57,7
ETS_1,10
RFX_1,14
KAISO,12
NR_12,17
GC-tract,20
Ebox_CACGTG_2,9
E2F_2,8
HD_12,10
SREBF1,9
ZBTB7A,7
ZIC_2,8
KLF_SP_1,11
ZSCAN3,15
HIF,7
SMAD,10
EWSR1_FLI1,17
ZNF708,17
MZF1,16
MFZ1,8
NR_19,11
IRF_2,16
ZNF335,20
GATA,10
ZNF384_1,7
P53-like_1,16
EGR,11
ZNF331,19
MBD2,9
TFCP2,15
ZNF554,18
ZNF324,19
CTCF,14
MECP2,7
TFAP2_2,11
ZNF320,19
HIC_1,14
Ebox_CACCTG,7
E2F_4,8
NR_18,17
NR_13,14
ZIC,13
ZKSCAN1,14
Ebox_CAGATGG,14
MTF1,14
ZBTB14,8
RFX_2,13
PAX_2,17
HD_22,8
TBX_3,18
FOX_7,10
GLIS,14
AHR,6
RFX_3,13
INSM1,12
NFI_1,14
REL-halfsite,7
RBPJ,9
ZBTB6,12
ZNF134,20
ZNF436,23
ZNF423,14
EBF1,10
ZBTB48,9
KLF_SP_3,9
NR_15,15
HD_14,9
HD_16,9
FOX_3,14
AP1_1,8
CREB_ATF_2,10
CREB_ATF_3,10
CREB_ATF_1,9
ZNF41,22
PLAG1,14
PRDM1,11
PAX_1,14
ZBTB49,16
RUNX_2,14
ZNF768,17
THAP1,8
ZFN121,19
Ebox_CACGTG_1,9
NFAT_4,12
FOX_4,10
NFAT_2,15
FOX_5,12
GMEB2_1,13
NR_20,14
PRDM4,13
TEAD,13
ZNF784,10
STAT_2,9
ZNF53,6
GMEB2_2,7
SPDEF_1,13
ZNF306,12
IRF_1,12
IRF_3,12
E2F_1,14
SRF,13
CREB3_XBP1,11
NR_8,18
NFKB_2,11
NFKB_1,10
NR_10,17
YY1,11
HINFP1_2,20
HINFP1_3,19
ZNF418,14
ZNF257,10
LEF1,13
BATF,14
MIES,12
CCAAT_CEBP,9
TBX_1,16
SCRT1,10
PAX-halfsite,6
TBX_4,23
NFKB_3,12
ZNF140,18
ZNF85,21
GCM,11
MYB_5,8
SMARCA1,10
PRDM14,11
ZNF524,11
SNAI2,6
HIC_2,7
FOX_9,12
OCT4+SOX2,14
ZNF384_2,7
CPEB1,8
HD_18,9
NFI_2,6
TBX_2,17
NFY,10
GMEB2_3,14
HD_2,8
GRHL,12
ZNF282,14
ZNF28,19
HLTF,6
ZNF274,20
BCL6_2,11
FOX_8,10
MYB_1,11
MYB_2,14
HSF,13
HD_4,8
NFAT_3,15
SIX_1,11
STAT_1,10
CENBP,15
FOX_1,8
HD_19,11
MYB_3,12
DDIT3+CEBPA,9
AIRE,15
SPZ1,11
TCF_LEF,10
E2F_3,12
P53-like_2,17
POU_1,9
NR_5,16
HD_13,6
PROX1,10
ZIM3,14
ZNF549,16
NFAC_2,12
ZNF136,22
POU_3,12
FOX_6,12
ARI5B,10
MYB_4,8
NR_14,12
NR_2,13
SOX_3,13
DMRT1,13
P53-like_3,18
NFAT_1,9
ZNF24,11
SOX_8,14
HD_24,9
HSFY2,14
FOX_2,14
POU_2,12
HD_8,11
HD_7,14
SOX_2,6
HD_23,10
SOX_4,15
ZNF317,19
HD_17,9
Ebox_CATATG,9
TATA,9
ZNF680,19
HD_10,13
NR2E3,6
OVOL1,9
FEZF1,9
ZNF146,22
HD_21,7
ZNF586,20
SPDEF_2,14
MEF2,10
HD_1,12
SOX_5,14
HD_15,9
CUX_2,18
HD_5,16
ZNF435,15
NR_6,15
ZNF250,18
ZNF713,16
SIX_2,13
ARI5A,8
ZNF410,12
CUX_1,9
HOMEZ,10
EVI1_MECOM,13
SOX_6,16
DMRT3,7
ZNF652,10
ZNF232,16
ZNF490,21
CUX_4,9
HD_25,8
HD_6,15
LIN54,7
HD_11,12
BCL6_1,16
IRF_4,15
ZBED1,11
HD_3,17
CUX_3,17
SOX_7,16
HD_9,11
