,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,382.4827082318558,Same,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,0.0,1.0,0.0,13482708231.85578
1,-18.5,367.8152297450884,Same,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,425.0,1.0,0.0,0.0,-57184770254.91159
2,-17.5,364.4304270173729,Same,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,1.0,0.0,0.0,-99569572982.6271
3,-16.5,446.793960058451,Same,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,0.0,1.0,0.0,18793960058.450977
4,-15.5,561.8772528007793,Same,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,439.0,0.0,1.0,0.0,122877252800.77927
5,-14.5,470.4875791524597,Same,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,406.0,0.0,1.0,0.0,64487579152.45971
6,-13.5,402.791524598149,Same,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,388.0,0.0,1.0,0.0,14791524598.14901
7,-12.5,401.6632570222438,Same,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,362.0,0.0,1.0,0.0,39663257022.24378
8,-11.5,403.9197921740542,Same,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,0.0,1.0,0.0,12919792174.05418
9,-10.5,393.76538399090754,Same,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,1.0,0.0,0.0,-16234616009.092463
10,-9.5,410.68939762948526,Same,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,434.0,1.0,0.0,0.0,-23310602370.514744
