,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,120.32568055100035,Same,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,0.0,1.0,0.0,1325680551.000346
1,-18.5,110.73450311577568,Same,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,1.0,0.0,0.0,-20265496884.22432
2,-17.5,103.7591013447032,Same,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,1.0,0.0,0.0,-7240898655.2968025
3,-16.5,110.73450311577568,Same,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,1.0,0.0,0.0,-10265496884.22432
4,-15.5,106.37487700885538,Same,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,1.0,0.0,0.0,-20625122991.14462
5,-14.5,96.78369957363071,Same,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,1.0,0.0,0.0,-20216300426.369286
6,-13.5,102.88717612331914,Same,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,1.0,0.0,0.0,-2112823876.6808634
7,-12.5,115.09412922269598,Same,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,116.0,1.0,0.0,0.0,-905870777.3040168
8,-11.5,108.99065267300756,Same,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0,0.0,1.0,0.0,2990652673.00756
9,-10.5,116.8379796654641,Same,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,1.0,0.0,0.0,-15162020334.535894
10,-9.5,103.7591013447032,Same,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,0.0,1.0,0.0,5759101344.703197
11,-8.5,84.57674647425387,Same,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,1.0,0.0,0.0,-24423253525.74613
12,-7.5,88.93637258117417,Same,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,1.0,0.0,0.0,-3063627418.825831
13,-6.5,64.52246638242048,Same,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,1.0,0.0,3522466382.420475
14,-5.5,38.36470974089866,Same,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,1.0,0.0,0.0,-10635290259.101337
15,-4.5,40.98048540505084,Same,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,1.0,0.0,0.0,-19514594.949157525
16,-3.5,10.463102656608726,Same,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,1.0,0.0,0.0,-19536897343.391273
17,-2.5,14.822728763529028,Same,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,1.0,0.0,0.0,-18177271236.47097
18,-1.5,9.591177435224665,Same,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.0,0.0,0.0,-3408822564.7753344
19,-0.5,4.359626106920302,Same,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,-2640373893.0796976
20,0.5,2.6157756641521814,Same,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,-1384224335.8478184
