,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,109.8221614227086,Same,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,1.0,0.0,26822161422.708603
1,-18.5,104.33105335157317,Same,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,0.0,1.0,0.0,18331053351.573174
2,-17.5,87.85772913816689,Same,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,1.0,0.0,4857729138.166888
3,-16.5,76.87551299589603,Same,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,1.0,0.0,0.0,-3124487004.1039686
4,-15.5,93.34883720930232,Same,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0.0,1.0,0.0,8348837209.302317
5,-14.5,86.48495212038303,Same,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,1.0,0.0,0.0,-14515047879.616972
6,-13.5,104.33105335157317,Same,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,1.0,0.0,12331053351.573174
7,-12.5,80.9938440492476,Same,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,1.0,0.0,0.0,-3006155950.752401
8,-11.5,97.46716826265389,Same,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,0.0,1.0,0.0,3467168262.653885
9,-10.5,89.23050615595075,Same,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,0.0,1.0,0.0,11230506155.950748
10,-9.5,97.46716826265389,Same,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,1.0,0.0,25467168262.653885
11,-8.5,102.95827633378933,Same,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,0.0,1.0,0.0,21958276333.789326
12,-7.5,98.83994528043775,Same,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,0.0,1.0,0.0,1839945280.437746
13,-6.5,96.09439124487004,Same,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,1.0,0.0,31094391244.870037
14,-5.5,80.9938440492476,Same,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1.0,0.0,13993844049.247599
15,-4.5,89.23050615595075,Same,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.0,1.0,0.0,50230506155.950745
16,-3.5,57.65663474692202,Same,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,0.0,1.0,0.0,13656634746.922022
17,-2.5,43.928864569083444,Same,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.0,1.0,0.0,14928864569.083443
18,-1.5,108.44938440492476,Same,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,1.0,0.0,0.0,-20550615595.07524
19,-0.5,155.1238030095759,Same,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,1.0,0.0,0.0,-16876196990.42409
20,0.5,6.863885088919288,Same,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,1863885088.9192877
21,1.5,5.4911080711354305,Same,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,0.0,491108071.1354305
22,2.5,4.118331053351573,Same,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,118331053.35157333
23,3.5,32.94664842681259,Same,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1.0,0.0,2946648426.812587
24,4.5,57.65663474692202,Same,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,0.0,1.0,0.0,8656634746.922022
25,5.5,31.573871409028726,Same,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,1.0,0.0,0.0,-47426128590.97127
26,6.5,68.63885088919288,Same,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,1.0,0.0,0.0,-13361149110.807117
27,7.5,50.792749658002734,Same,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,1.0,0.0,0.0,-6207250341.997266
28,8.5,52.16552667578659,Same,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,1.0,0.0,0.0,-19834473324.213413
29,9.5,65.89329685362517,Same,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,0.0,1.0,0.0,4893296853.625174
30,10.5,65.89329685362517,Same,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,1.0,0.0,0.0,-19106703146.374825
31,11.5,65.89329685362517,Same,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,1.0,0.0,0.0,-25106703146.374825
32,12.5,97.46716826265389,Same,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,1.0,0.0,5467168262.653885
33,13.5,65.89329685362517,Same,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,1.0,0.0,0.0,-22106703146.374825
34,14.5,60.40218878248974,Same,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,1.0,0.0,0.0,-24597811217.51026
35,15.5,80.9938440492476,Same,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,1.0,0.0,0.0,-9006155950.7524
36,16.5,82.36662106703146,Same,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,0.0,1.0,0.0,9366621067.03146
37,17.5,83.73939808481532,Same,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,1.0,0.0,0.0,-10260601915.184679
38,18.5,53.53830369357045,Same,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,1.0,0.0,0.0,-21461696306.42955
39,19.5,71.3844049247606,Same,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,1.0,0.0,0.0,-14615595075.239397
40,20.5,0.0,Same,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-19.5,83.73939808481532,Diff,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,0.0,1.0,0.0,739398084.8153205
42,-18.5,63.14774281805745,Diff,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,1.0,0.0,0.0,-34852257181.94254
43,-17.5,75.50273597811217,Diff,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,1.0,0.0,0.0,-22497264021.88783
44,-16.5,87.85772913816689,Diff,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,1.0,0.0,0.0,-17142270861.83311
45,-15.5,109.8221614227086,Diff,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,0.0,1.0,0.0,24822161422.708603
46,-14.5,107.0766073871409,Diff,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,0.0,1.0,0.0,10076607387.140896
47,-13.5,100.2127222982216,Diff,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,1.0,0.0,0.0,-14787277701.778393
48,-12.5,83.73939808481532,Diff,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,113.0,1.0,0.0,0.0,-29260601915.184677
49,-11.5,105.70383036935704,Diff,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,0.0,1.0,0.0,23703830369.357033
