,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,197.35612849855232,Same,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,1.0,0.0,0.0,-23643871501.447674
1,-18.5,165.7046739280298,Same,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,1.0,0.0,0.0,-34295326071.970207
2,-17.5,190.8396525575624,Same,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,204.0,1.0,0.0,0.0,-13160347442.437597
3,-16.5,197.35612849855232,Same,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1.0,0.0,0.0,-22643871501.447674
4,-15.5,206.66537984282368,Same,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,1.0,0.0,0.0,-334620157.1763174
5,-14.5,201.07982903626086,Same,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,0.0,1.0,0.0,3079829036.260861
6,-13.5,223.42203226251206,Same,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,0.0,1.0,0.0,11422032262.51206
7,-12.5,197.35612849855232,Same,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,186.0,0.0,1.0,0.0,11356128498.552322
8,-11.5,179.6685509444368,Same,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,221.0,1.0,0.0,0.0,-41331449055.56321
9,-10.5,229.938508203502,Same,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,0.0,1.0,0.0,14938508203.50201
10,-9.5,160.119123121467,Same,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,1.0,0.0,0.0,-38880876878.533
11,-8.5,114.50379153453744,Same,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,1.0,0.0,0.0,-35496208465.462555
12,-7.5,46.546256721356684,Same,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,1.0,0.0,0.0,-11453743278.643314
13,-6.5,35.37515510823108,Same,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,1.0,0.0,5375155108.231076
14,-5.5,40.96070591479388,Same,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,1.0,0.0,2960705914.7938766
15,-4.5,99.6089893837033,Same,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,1.0,0.0,0.0,-19391010616.296696
