,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,53.951219512195124,Same,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,1.0,0.0,0.0,-1048780487.8048762
1,-18.5,68.40243902439025,Same,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,1.0,0.0,9402439024.390247
2,-17.5,66.47560975609755,Same,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,1.0,0.0,0.0,-5524390243.902445
3,-16.5,79.0,Same,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,0.0,1.0,0.0,12000000000.0
4,-15.5,81.89024390243902,Same,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,1.0,0.0,22890243902.439022
5,-14.5,57.80487804878049,Same,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,0.0,0.0,-2195121951.2195125
6,-13.5,75.14634146341463,Same,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,1.0,0.0,0.0,-4853658536.585371
7,-12.5,81.89024390243902,Same,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,0.0,1.0,0.0,5890243902.439024
8,-11.5,72.2560975609756,Same,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,1.0,0.0,0.0,-1743902439.0243957
9,-10.5,50.09756097560975,Same,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,0.0,0.0,-9902439024.390247
10,-9.5,50.09756097560975,Same,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,1.0,0.0,0.0,-18902439024.390247
11,-8.5,58.76829268292683,Same,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,1.0,0.0,0.0,-15231707317.073172
12,-7.5,92.48780487804878,Same,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,0.0,1.0,0.0,18487804878.048775
13,-6.5,61.65853658536585,Same,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,1.0,0.0,0.0,-29341463414.634148
14,-5.5,78.03658536585365,Same,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,117.0,1.0,0.0,0.0,-38963414634.14635
15,-4.5,25.048780487804876,Same,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,1.0,0.0,0.0,-10951219512.195124
16,-3.5,11.560975609756097,Same,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,1.0,0.0,0.0,-7439024390.243902
17,-2.5,30.829268292682926,Same,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,1.0,0.0,0.0,-9170731707.317074
18,-1.5,105.01219512195122,Same,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,182.0,1.0,0.0,0.0,-76987804878.04877
19,-0.5,3.8536585365853657,Same,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,0.0,-5146341463.414634
20,0.5,2.8902439024390243,Same,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,-1109756097.5609756
21,1.5,26.01219512195122,Same,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,1.0,0.0,4012195121.9512186
