,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,252.4288129861346,Same,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,225.0,0.0,1.0,0.0,27428812986.1346
1,-18.5,258.3451132904971,Same,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,1.0,0.0,0.0,-1654886709.5028753
2,-17.5,244.5404125803179,Same,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,267.0,1.0,0.0,0.0,-22459587419.682095
3,-16.5,265.2474636455868,Same,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,1.0,0.0,0.0,-16752536354.413221
4,-15.5,252.4288129861346,Same,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,0.0,1.0,0.0,8428812986.134602
5,-14.5,243.5543625295908,Same,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,0.0,1.0,0.0,1554362529.5908043
6,-13.5,270.17771389922217,Same,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,1.0,0.0,0.0,-10822286100.77783
7,-12.5,271.16376394994927,Same,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,0.0,1.0,0.0,23163763949.94927
8,-11.5,273.1358640514035,Same,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,0.0,1.0,0.0,36135864051.40347
9,-10.5,254.40091308758878,Same,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,1.0,0.0,0.0,-2599086912.4112234
10,-9.5,308.6336658775786,Same,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,0.0,1.0,0.0,13633665877.578608
11,-8.5,250.45671288468043,Same,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,1.0,0.0,0.0,-26543287115.31957
12,-7.5,275.1079641528576,Same,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,1.0,0.0,0.0,-17892035847.14238
13,-6.5,290.88476496449107,Same,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,0.0,1.0,0.0,7884764964.491069
14,-5.5,258.3451132904971,Same,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,0.0,1.0,0.0,35345113290.49712
15,-4.5,160.7261582685154,Same,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,1.0,0.0,0.0,-27273841731.484592
16,-3.5,224.81941156577614,Same,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,206.0,0.0,1.0,0.0,18819411565.776134
17,-2.5,144.94935745688198,Same,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,0.0,1.0,0.0,12949357456.881983
18,-1.5,40.42805207981062,Same,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,0.0,1.0,0.0,6428052079.810619
19,-0.5,9.860500507270883,Same,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,-139499492.7291169
20,0.5,11.832600608725059,Same,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,1.0,0.0,5832600608.725059
21,1.5,24.65125126817721,Same,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,1.0,0.0,0.0,-1348748731.8227913
22,2.5,22.67915116672303,Same,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,1.0,0.0,0.0,-26320848833.276966
23,3.5,58.17695299289821,Same,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,1.0,0.0,0.0,-37823047007.10179
24,4.5,184.39135948596552,Same,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,1.0,0.0,0.0,-29608640514.034473
25,5.5,197.21001014541767,Same,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,1.0,0.0,0.0,-7789989854.58233
26,6.5,207.07051065268854,Same,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,202.0,0.0,1.0,0.0,5070510652.6885395
27,7.5,283.9824146094014,Same,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,1.0,0.0,0.0,-26017585390.598583
28,8.5,357.93616841393305,Same,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,1.0,0.0,0.0,-33063831586.06695
29,9.5,299.75921542103487,Same,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,317.0,1.0,0.0,0.0,-17240784578.965134
30,10.5,212.98681095705106,Same,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,1.0,0.0,0.0,-41013189042.94894
31,11.5,253.4148630368617,Same,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,238.0,0.0,1.0,0.0,15414863036.861702
32,12.5,244.5404125803179,Same,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,1.0,0.0,0.0,-32459587419.68209
33,13.5,233.69386202231993,Same,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,248.0,1.0,0.0,0.0,-14306137977.680065
34,14.5,220.8752113628678,Same,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,1.0,0.0,0.0,-44124788637.13221
35,15.5,275.1079641528576,Same,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,1.0,0.0,32107964152.857616
36,16.5,235.6659621237741,Same,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,1.0,0.0,0.0,-6334037876.225892
37,17.5,248.48461278322625,Same,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,0.0,1.0,0.0,6484612783.2262535
38,18.5,245.52646263104498,Same,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,1.0,0.0,0.0,-8473537368.955021
39,19.5,239.61016232668246,Same,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,237.0,0.0,1.0,0.0,2610162326.682456
40,20.5,0.0,Same,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-19.5,296.80106526885356,Diff,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,0.0,1.0,0.0,17801065268.85356
42,-18.5,275.1079641528576,Diff,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,281.0,1.0,0.0,0.0,-5892035847.142381
43,-17.5,333.28491714575586,Diff,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,324.0,0.0,1.0,0.0,9284917145.755856
44,-16.5,311.5918160297599,Diff,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,0.0,1.0,0.0,7591816029.759912
45,-15.5,299.75921542103487,Diff,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,307.0,1.0,0.0,0.0,-7240784578.965133
46,-14.5,293.8429151166723,Diff,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,289.0,0.0,1.0,0.0,4842915116.672316
47,-13.5,316.52206628339536,Diff,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,328.0,1.0,0.0,0.0,-11477933716.60464
48,-12.5,296.80106526885356,Diff,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,1.0,0.0,0.0,-16198934731.146437
49,-11.5,288.91266486303687,Diff,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,302.0,1.0,0.0,0.0,-13087335136.963133
50,-10.5,259.3311633412242,Diff,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,341.0,1.0,0.0,0.0,-81668836658.77577
51,-9.5,273.1358640514035,Diff,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,282.0,1.0,0.0,0.0,-8864135948.596527
52,-8.5,342.15936760229965,Diff,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,1.0,0.0,41159367602.29965
