,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25,Run 26,Run 27,Run 28,Run 29,Run 30,Run 31,Run 32,Run 33,Run 34,Run 35,Run 36,Run 37,Run 38,Run 39,Run 40,Run 41,Run 42,Run 43,Run 44,Run 45,Run 46,Run 47,Run 48,Run 49,Run 50,Run 51,Run 52,Run 53,Run 54,Run 55,Run 56,Run 57,Run 58,Run 59,Run 60,Run 61,Run 62,Run 63,Run 64,Run 65,Run 66,Run 67,Run 68,Run 69,Run 70,Run 71,Run 72,Run 73,Run 74,Run 75,Run 76,Run 77,Run 78,Run 79,Run 80,Run 81,Run 82,Run 83,Run 84,Run 85,Run 86,Run 87,Run 88,Run 89,Run 90,Run 91,Run 92,Run 93,Run 94,Run 95,Run 96,Run 97,Run 98,Run 99,Run 100,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,58.635382938978836,Same,64.0,71.0,68.0,82.0,68.0,74.0,65.0,60.0,70.0,59.0,64.0,64.0,63.0,81.0,58.0,50.0,64.0,71.0,62.0,64.0,67.0,48.0,52.0,62.0,58.0,69.0,54.0,60.0,65.0,60.0,71.0,49.0,62.0,73.0,65.0,62.0,50.0,64.0,63.0,64.0,62.0,53.0,54.0,66.0,70.0,68.0,69.0,63.0,64.0,55.0,75.0,64.0,62.0,77.0,50.0,52.0,61.0,65.0,48.0,69.0,62.0,49.0,71.0,59.0,71.0,58.0,64.0,54.0,80.0,67.0,51.0,54.0,64.0,75.0,65.0,61.0,66.0,69.0,65.0,71.0,53.0,59.0,54.0,58.0,61.0,66.0,55.0,58.0,61.0,55.0,50.0,55.0,59.0,72.0,60.0,66.0,60.0,81.0,48.0,57.0,48.0,82.0,63.0,62.366336633663366,1.0,0.6473684210526315,7.932540791665067,-0.4703352673754174
1,-18.5,61.34163138231632,Same,72.0,73.0,55.0,63.0,63.0,76.0,59.0,70.0,67.0,67.0,68.0,63.0,62.0,68.0,67.0,58.0,61.0,72.0,66.0,70.0,60.0,57.0,59.0,71.0,65.0,49.0,58.0,53.0,66.0,76.0,62.0,62.0,64.0,54.0,72.0,69.0,76.0,68.0,66.0,64.0,65.0,52.0,69.0,64.0,62.0,81.0,54.0,61.0,71.0,66.0,48.0,70.0,72.0,60.0,68.0,63.0,71.0,44.0,77.0,50.0,66.0,63.0,67.0,57.0,72.0,68.0,60.0,70.0,66.0,55.0,61.0,51.0,64.0,62.0,62.0,68.0,58.0,62.0,49.0,78.0,75.0,51.0,68.0,55.0,76.0,44.0,73.0,62.0,56.0,57.0,59.0,64.0,60.0,63.0,66.0,59.0,71.0,74.0,63.0,53.0,44.0,81.0,64.0,63.475247524752476,1.0,0.6674418604651162,7.8923375038935815,-0.2703402054351099
2,-17.5,52.32080323785804,Same,66.0,61.0,62.0,46.0,50.0,55.0,67.0,66.0,68.0,63.0,50.0,50.0,60.0,56.0,56.0,59.0,55.0,67.0,66.0,58.0,52.0,70.0,60.0,53.0,47.0,50.0,65.0,66.0,61.0,62.0,54.0,71.0,52.0,58.0,68.0,61.0,62.0,71.0,51.0,56.0,63.0,65.0,63.0,59.0,58.0,55.0,47.0,75.0,75.0,63.0,57.0,53.0,63.0,53.0,62.0,67.0,61.0,57.0,63.0,69.0,57.0,56.0,62.0,43.0,52.0,57.0,61.0,56.0,60.0,65.0,64.0,66.0,61.0,49.0,53.0,66.0,76.0,50.0,56.0,53.0,40.0,53.0,61.0,64.0,48.0,68.0,59.0,61.0,57.0,58.0,75.0,66.0,61.0,52.0,57.0,51.0,61.0,48.0,42.0,61.0,40.0,76.0,60.0,58.86138613861386,1.0,0.492,7.613211163315626,-0.8591096134851233
3,-16.5,49.61455479452056,Same,48.0,56.0,56.0,68.0,60.0,60.0,59.0,63.0,50.0,58.0,61.0,67.0,51.0,61.0,58.0,61.0,53.0,60.0,76.0,54.0,58.0,64.0,49.0,61.0,58.0,60.0,56.0,61.0,55.0,52.0,56.0,62.0,66.0,71.0,56.0,54.0,47.0,59.0,60.0,62.0,66.0,70.0,65.0,57.0,74.0,56.0,52.0,56.0,53.0,59.0,65.0,67.0,61.0,60.0,50.0,44.0,55.0,67.0,56.0,76.0,71.0,63.0,56.0,58.0,52.0,77.0,52.0,51.0,60.0,63.0,59.0,63.0,54.0,47.0,55.0,71.0,63.0,55.0,69.0,63.0,81.0,59.0,56.0,58.0,44.0,70.0,67.0,72.0,55.0,50.0,52.0,52.0,76.0,60.0,70.0,60.0,61.0,63.0,77.0,78.0,44.0,81.0,60.0,60.02970297029703,1.0,0.33764705882352947,7.9708074370732405,-1.3066616220117966
4,-15.5,68.55829389788295,Same,65.0,74.0,76.0,57.0,68.0,70.0,52.0,68.0,67.0,71.0,69.0,67.0,66.0,56.0,59.0,50.0,56.0,43.0,65.0,68.0,74.0,64.0,72.0,55.0,62.0,62.0,57.0,58.0,74.0,64.0,60.0,65.0,52.0,62.0,58.0,58.0,56.0,66.0,66.0,57.0,66.0,82.0,67.0,61.0,70.0,59.0,61.0,52.0,62.0,52.0,64.0,56.0,68.0,72.0,67.0,62.0,63.0,51.0,50.0,59.0,48.0,60.0,63.0,66.0,64.0,59.0,73.0,63.0,71.0,59.0,70.0,80.0,74.0,64.0,72.0,65.0,77.0,62.0,65.0,55.0,62.0,49.0,59.0,74.0,63.0,69.0,63.0,54.0,66.0,73.0,58.0,56.0,58.0,69.0,63.0,56.0,65.0,58.0,60.0,60.0,43.0,82.0,63.0,62.78217821782178,0.902,0.9939393939393939,7.566999693688248,0.763329709675525
5,-14.5,73.06870797011209,Same,61.0,75.0,86.0,60.0,87.0,62.0,64.0,74.0,79.0,49.0,56.0,72.0,59.0,87.0,75.0,72.0,54.0,66.0,78.0,66.0,83.0,67.0,70.0,65.0,70.0,54.0,78.0,80.0,67.0,76.0,65.0,61.0,68.0,65.0,89.0,72.0,75.0,54.0,73.0,64.0,77.0,64.0,69.0,71.0,73.0,62.0,68.0,66.0,60.0,76.0,66.0,77.0,65.0,80.0,60.0,69.0,71.0,67.0,56.0,76.0,74.0,70.0,69.0,61.0,50.0,61.0,61.0,57.0,69.0,61.0,60.0,74.0,75.0,62.0,59.0,71.0,74.0,97.0,54.0,69.0,56.0,65.0,55.0,75.0,65.0,69.0,68.0,66.0,69.0,74.0,59.0,54.0,69.0,68.0,77.0,73.0,73.0,68.0,58.0,60.0,49.0,97.0,68.0,67.81188118811882,1.0,0.9609375,8.983717803339673,0.5851504796214666
6,-13.5,48.712471980074724,Same,56.0,69.0,65.0,60.0,69.0,60.0,59.0,63.0,77.0,71.0,76.0,70.0,70.0,69.0,69.0,63.0,58.0,63.0,68.0,76.0,59.0,75.0,64.0,65.0,55.0,64.0,63.0,72.0,54.0,73.0,60.0,68.0,71.0,65.0,70.0,63.0,75.0,55.0,70.0,77.0,66.0,62.0,58.0,55.0,62.0,64.0,67.0,61.0,52.0,53.0,64.0,69.0,70.0,71.0,76.0,75.0,67.0,65.0,66.0,75.0,72.0,68.0,57.0,81.0,70.0,60.0,64.0,74.0,60.0,58.0,65.0,71.0,64.0,73.0,64.0,67.0,59.0,45.0,58.0,64.0,78.0,59.0,73.0,73.0,86.0,71.0,63.0,52.0,65.0,69.0,52.0,60.0,69.0,48.0,67.0,72.0,66.0,56.0,63.0,65.0,45.0,86.0,65.0,65.27722772277228,1.0,0.2236363636363636,7.5964019777489575,-2.180605474675734
7,-12.5,66.7541282689913,Same,74.0,63.0,72.0,66.0,61.0,78.0,52.0,68.0,80.0,61.0,66.0,63.0,66.0,73.0,61.0,76.0,78.0,56.0,67.0,64.0,55.0,62.0,53.0,67.0,64.0,71.0,52.0,63.0,61.0,51.0,64.0,65.0,64.0,62.0,63.0,65.0,77.0,79.0,66.0,62.0,72.0,78.0,63.0,80.0,68.0,46.0,65.0,74.0,68.0,49.0,36.0,61.0,60.0,74.0,60.0,64.0,66.0,82.0,61.0,60.0,70.0,80.0,68.0,69.0,64.0,61.0,76.0,49.0,64.0,80.0,71.0,74.0,76.0,56.0,68.0,59.0,71.0,68.0,57.0,64.0,60.0,66.0,60.0,66.0,67.0,54.0,63.0,63.0,60.0,72.0,58.0,66.0,55.0,69.0,59.0,62.0,82.0,71.0,55.0,58.0,36.0,82.0,64.0,64.8019801980198,1.0,0.9063157894736843,8.831783065634015,0.22103668718342914
8,-11.5,73.97079078455792,Same,60.0,67.0,66.0,64.0,87.0,54.0,79.0,62.0,67.0,69.0,61.0,68.0,62.0,59.0,60.0,70.0,92.0,75.0,65.0,60.0,68.0,59.0,74.0,80.0,68.0,63.0,62.0,61.0,47.0,78.0,81.0,65.0,65.0,63.0,55.0,84.0,54.0,83.0,71.0,63.0,72.0,56.0,72.0,63.0,79.0,69.0,57.0,63.0,57.0,63.0,70.0,68.0,63.0,64.0,73.0,79.0,59.0,61.0,61.0,57.0,54.0,55.0,61.0,54.0,55.0,72.0,63.0,66.0,61.0,63.0,70.0,57.0,58.0,64.0,65.0,64.0,79.0,66.0,54.0,55.0,67.0,48.0,73.0,58.0,68.0,59.0,53.0,56.0,60.0,62.0,76.0,71.0,62.0,67.0,60.0,68.0,58.0,57.0,52.0,83.0,47.0,92.0,63.0,64.73267326732673,0.7687499999999999,0.9987179487179487,8.794565253732364,1.0504348139619692
9,-10.5,59.53746575342467,Same,68.0,70.0,58.0,75.0,57.0,49.0,61.0,45.0,38.0,54.0,62.0,79.0,67.0,74.0,74.0,65.0,78.0,52.0,71.0,60.0,78.0,53.0,64.0,62.0,64.0,54.0,38.0,71.0,80.0,65.0,65.0,50.0,62.0,68.0,65.0,77.0,65.0,53.0,61.0,75.0,68.0,68.0,54.0,55.0,59.0,58.0,60.0,71.0,79.0,65.0,48.0,78.0,62.0,63.0,62.0,68.0,43.0,46.0,61.0,69.0,55.0,71.0,68.0,62.0,77.0,47.0,69.0,69.0,72.0,66.0,54.0,59.0,72.0,61.0,49.0,63.0,62.0,69.0,67.0,53.0,53.0,65.0,51.0,64.0,66.0,61.0,62.0,70.0,60.0,57.0,61.0,63.0,68.0,68.0,61.0,60.0,76.0,61.0,57.0,55.0,38.0,80.0,62.5,62.43564356435643,1.0,0.6517948717948718,9.36225394033139,-0.3095598377370672
