,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,269.08512360211887,Same,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,261.0,0.0,1.0,0.0,8085123602.118869
1,-18.5,255.86690700412007,Same,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,0.0,1.0,0.0,5866907004.120065
2,-17.5,263.420173631548,Same,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,1.0,0.0,0.0,-11579826368.452017
3,-16.5,246.4253237198352,Same,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,255.0,1.0,0.0,0.0,-8574676280.164794
4,-15.5,256.81106533254854,Same,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,0.0,1.0,0.0,13811065332.548536
5,-14.5,258.69938198940554,Same,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,0.0,1.0,0.0,30699381989.405537
6,-13.5,282.3033402001177,Same,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,1.0,0.0,0.0,-17696659799.882298
7,-12.5,286.07997351383165,Same,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,1.0,0.0,0.0,-8920026486.168352
8,-11.5,289.8566068275456,Same,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,312.0,1.0,0.0,0.0,-22143393172.454407
9,-10.5,268.1409652736904,Same,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,1.0,0.0,0.0,-21859034726.309574
10,-9.5,288.91244849911715,Same,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,0.0,1.0,0.0,36912448499.11714
11,-8.5,270.02928193054737,Same,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,268.0,0.0,1.0,0.0,2029281930.5473697
12,-7.5,212.43562389640965,Same,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,235.0,1.0,0.0,0.0,-22564376103.590347
13,-6.5,203.93819894055326,Same,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,1.0,0.0,0.0,-16061801059.446735
14,-5.5,213.37978222483815,Same,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,1.0,0.0,0.0,-38620217775.16184
15,-4.5,148.23285756327252,Same,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,176.0,1.0,0.0,0.0,-27767142436.72748
16,-3.5,170.8926574455562,Same,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,1.0,0.0,0.0,-7107342554.4437895
17,-2.5,126.51721600941731,Same,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,1.0,0.0,0.0,-4482783990.582689
18,-1.5,11.329899941141848,Same,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,1.0,0.0,7329899941.141848
19,-0.5,15.106533254855798,Same,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,1.0,0.0,7106533254.855797
20,0.5,165.2277074749853,Same,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,234.0,1.0,0.0,0.0,-68772292525.0147
21,1.5,593.8755885815185,Same,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,852.0,1.0,0.0,0.0,-258124411418.48148
22,2.5,18.88316656856975,Same,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,1.0,0.0,5883166568.569748
23,3.5,17.93900824014126,Same,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,1.0,0.0,0.0,-5060991759.858741
24,4.5,437.14530606238964,Same,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,0.0,1.0,0.0,78145306062.38963
25,5.5,391.82570629782225,Same,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,0.0,1.0,0.0,59825706297.82225
26,6.5,351.2268981753973,Same,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,0.0,1.0,0.0,46226898175.39731
27,7.5,361.61263978811064,Same,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,338.0,0.0,1.0,0.0,23612639788.11064
28,8.5,341.7853148911124,Same,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,330.0,0.0,1.0,0.0,11785314891.11242
29,9.5,332.34373160682753,Same,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,0.0,1.0,0.0,1343731606.827532
30,10.5,319.1255150088287,Same,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,297.0,0.0,1.0,0.0,22125515008.828697
31,11.5,293.6332401412596,Same,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,0.0,1.0,0.0,20633240141.25959
32,12.5,259.64354031783404,Same,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,290.0,1.0,0.0,0.0,-30356459682.16596
33,13.5,271.91759858740437,Same,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,0.0,1.0,0.0,15917598587.40437
34,14.5,278.52670688640376,Same,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,1.0,0.0,0.0,-16473293113.596241
35,15.5,282.3033402001177,Same,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,1.0,0.0,0.0,-10696659799.882298
36,16.5,279.47086521483226,Same,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,283.0,1.0,0.0,0.0,-3529134785.1677413
