,Pos,Dmg,Strand,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,min,max,median,mean,P-Value-Top,P-Value-Bottom,std,z
0,-19.5,58.058841843088416,Same,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,1.0,0.0,0.0,-9941158156.911583
1,-18.5,60.73848069738481,Same,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,1.0,0.0,4738480697.384809
2,-17.5,51.80635118306351,Same,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,1.0,0.0,0.0,-5193648816.936487
3,-16.5,49.12671232876713,Same,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,0.0,0.0,-10873287671.232872
4,-15.5,67.88418430884184,Same,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,0.0,1.0,0.0,8884184308.841839
5,-14.5,72.35024906600249,Same,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,1.0,0.0,0.0,-2649750933.9975095
6,-13.5,48.233499377334994,Same,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,1.0,0.0,0.0,-26766500622.665005
7,-12.5,66.09775840597759,Same,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,1.0,0.0,1097758405.9775863
8,-11.5,73.24346201743462,Same,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,0.0,1.0,0.0,11243462017.434624
9,-10.5,58.95205479452055,Same,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,1.0,0.0,0.0,-3047945205.4794507
10,-9.5,50.01992528019925,Same,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,1.0,0.0,0.0,-17980074719.800747
11,-8.5,52.699564134495645,Same,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,1.0,0.0,0.0,-10300435865.504354
12,-7.5,66.09775840597759,Same,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,0.0,1.0,0.0,8097758405.977586
13,-6.5,50.01992528019925,Same,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,1.0,0.0,0.0,-14980074719.800747
14,-5.5,28.582814445828145,Same,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,1.0,0.0,0.0,-3417185554.171855
15,-4.5,30.369240348692404,Same,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,1.0,0.0,0.0,-7630759651.307595
16,-3.5,146.48692403486925,Same,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,1.0,0.0,0.0,-49513075965.13075
17,-2.5,40.19458281444583,Same,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,1.0,0.0,0.0,-8805417185.554169
18,-1.5,36.62173100871731,Same,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.0,1.0,0.0,14621731008.71731
19,-0.5,5.359277708592777,Same,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.0,0.0,0.0,-2640722291.4072227
20,0.5,12.504981320049813,Same,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,1.0,0.0,0.0,-3495018679.9501867
21,1.5,12.504981320049813,Same,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,1.0,0.0,0.0,-2495018679.9501867
22,2.5,1.786425902864259,Same,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,-1213574097.1357408
23,3.5,2.6796388542963885,Same,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,0.0,-1320361145.7036114
24,4.5,71.45703611457036,Same,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,1.0,0.0,0.0,-12542963885.429642
25,5.5,54.485990037359905,Same,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,1.0,0.0,0.0,-26514009962.640095
26,6.5,65.20454545454545,Same,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,1.0,0.0,0.0,-12795454545.454546
27,7.5,72.35024906600249,Same,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,1.0,0.0,0.0,-10649750933.997509
28,8.5,68.77739726027397,Same,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0.0,1.0,0.0,3777397260.2739716
29,9.5,78.6027397260274,Same,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,1.0,0.0,6602739726.027394
30,10.5,61.631693648816935,Same,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,1.0,0.0,0.0,-4368306351.183065
31,11.5,87.5348692403487,Same,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,0.0,1.0,0.0,12534869240.348698
32,12.5,60.73848069738481,Same,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,1.0,0.0,0.0,-2261519302.6151915
